t_rel_s,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,power_w,temperature_c,sm_clock_mhz
0.0026385000001027947,6167.23828125,24564.0,42.0,18.0,83.186,41.0,2700.0
0.06039810000038415,6205.23828125,24564.0,42.0,18.0,83.186,41.0,2700.0
0.12115170000015496,6205.23828125,24564.0,42.0,18.0,83.186,41.0,2700.0
0.18306630000006407,6205.23828125,24564.0,42.0,18.0,83.186,41.0,2700.0
0.24536689999968075,6205.23828125,24564.0,42.0,18.0,83.186,41.0,2700.0
0.3072563000005175,6205.23828125,24564.0,42.0,18.0,83.186,41.0,2700.0
0.3702240000002348,6205.23828125,24564.0,43.0,19.0,110.46,41.0,2700.0
0.43043089999991935,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.492386500000066,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.5552288999997472,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.6163051000003179,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.67776430000049,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.7388100999996823,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.8000964000002568,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.8611504999998942,6205.23828125,24564.0,43.0,19.0,110.46,42.0,2700.0
0.9235768999997163,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
0.9854043000004822,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.0469260999998369,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.1066493999996965,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.1673901000003752,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.229272000000492,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.2900465000002441,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.3502772000001642,6205.23828125,24564.0,46.0,19.0,120.639,42.0,2700.0
1.4112104000005274,6205.23828125,24564.0,42.0,18.0,121.648,42.0,2700.0
