precision,context_length,max_new_tokens,batch_size,status,reason,load_load_time_s,load_baseline_device_used_mib,load_peak_device_used_mib,load_idle_device_used_mib,load_device_delta_mib,load_weights_mib,load_peak_allocator_mib,load_param_count,gpu_available,gpu_n_samples,gpu_duration_s,gpu_effective_interval_s,gpu_peak_memory_used_mib,gpu_min_memory_used_mib,gpu_final_memory_used_mib,gpu_memory_total_mib,gpu_mean_gpu_util_pct,gpu_max_gpu_util_pct,gpu_mean_power_w,gpu_max_power_w,gpu_max_temperature_c,gpu_samples_csv,gpu_markers_csv,n_repeats,prefill_latency_s_median,prefill_latency_s_stdev,prefill_tokens_per_s_median,prefill_tokens_per_s_stdev,ttft_s_median,ttft_s_stdev,total_generation_s_median,total_generation_s_stdev,decode_time_s_median,decode_time_s_stdev,decode_tokens_per_s_median,decode_tokens_per_s_stdev,end_to_end_tokens_per_s_median,end_to_end_tokens_per_s_stdev,itl_mean_ms_median,itl_mean_ms_stdev,itl_p50_ms_median,itl_p50_ms_stdev,itl_p90_ms_median,itl_p90_ms_stdev,itl_p99_ms_median,itl_p99_ms_stdev
bf16,128,128,1,ok,,5.6692,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,141,8.6192,0.06157,16227.3,16227.3,16227.3,24564.0,89.31,91.0,241.94,247.47,52.0,telemetry\bf16_ctx128.csv,telemetry\bf16_ctx128_markers.csv,3,0.0256,0.00042,4999.08,80.64056,0.02719,0.00012,2.85951,0.0008,2.83207,0.00075,44.844,0.01212,44.763,0.01234,22.3,0.00603,22.221,0.02554,23.066,0.08307,23.783,0.18682
bf16,512,128,1,ok,,5.6692,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,148,9.0328,0.06145,16311.3,16311.3,16311.3,24564.0,90.2,94.0,249.72,263.37,62.0,telemetry\bf16_ctx512.csv,telemetry\bf16_ctx512_markers.csv,3,0.05866,0.00156,8728.09,242.02112,0.05725,0.00033,2.97219,0.01039,2.91495,0.01024,43.569,0.15331,43.066,0.15078,22.952,0.08034,22.794,0.12009,23.886,0.14611,24.726,0.16432
bf16,2048,128,1,ok,,5.6692,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,177,10.8846,0.06184,16691.3,16691.3,16691.3,24564.0,92.16,100.0,267.02,330.36,69.0,telemetry\bf16_ctx2048.csv,telemetry\bf16_ctx2048_markers.csv,3,0.20681,0.00094,9903.05,44.73772,0.20913,0.0011,3.41563,0.01232,3.20736,0.01207,39.596,0.14819,37.475,0.13457,25.255,0.09489,25.231,0.05755,26.243,0.17323,27.242,0.20603
bf16,8192,128,1,ok,,5.6692,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,322,19.6967,0.06136,17915.3,17915.3,17915.3,24564.0,95.41,100.0,306.53,446.21,70.0,telemetry\bf16_ctx8192.csv,telemetry\bf16_ctx8192_markers.csv,3,0.96981,0.00381,8446.99,33.11255,0.97447,0.00408,5.60712,0.00805,4.63473,0.01128,27.402,0.06694,22.828,0.03272,36.494,0.08887,36.43,0.09577,37.41,0.13592,38.137,0.21873
bf16,16384,128,1,ok,,5.6692,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,533,32.7286,0.06152,20283.3,20283.3,20283.3,24564.0,97.13,100.0,329.78,444.13,73.0,telemetry\bf16_ctx16384.csv,telemetry\bf16_ctx16384_markers.csv,3,2.20595,0.00495,7427.19,16.59307,2.21113,0.00636,8.70737,0.0228,6.49547,0.01729,19.552,0.05243,14.7,0.03855,51.145,0.13586,51.028,0.1768,52.108,0.08851,53.592,0.53782
