precision,context_length,max_new_tokens,batch_size,status,reason,load_load_time_s,load_baseline_device_used_mib,load_peak_device_used_mib,load_idle_device_used_mib,load_device_delta_mib,load_weights_mib,load_peak_allocator_mib,load_param_count,gpu_available,gpu_n_samples,gpu_duration_s,gpu_effective_interval_s,gpu_peak_memory_used_mib,gpu_min_memory_used_mib,gpu_final_memory_used_mib,gpu_memory_total_mib,gpu_mean_gpu_util_pct,gpu_max_gpu_util_pct,gpu_mean_power_w,gpu_max_power_w,gpu_max_temperature_c,gpu_samples_csv,gpu_markers_csv,n_repeats,prefill_latency_s_median,prefill_latency_s_stdev,prefill_tokens_per_s_median,prefill_tokens_per_s_stdev,ttft_s_median,ttft_s_stdev,total_generation_s_median,total_generation_s_stdev,decode_time_s_median,decode_time_s_stdev,decode_tokens_per_s_median,decode_tokens_per_s_stdev,end_to_end_tokens_per_s_median,end_to_end_tokens_per_s_stdev,itl_mean_ms_median,itl_mean_ms_stdev,itl_p50_ms_median,itl_p50_ms_stdev,itl_p90_ms_median,itl_p90_ms_stdev,itl_p99_ms_median,itl_p99_ms_stdev
bf16,128,32,1,ok,,1.6041,1527.5,6077.2,4529.5,3002.0,2944.4,3002.0,1543714304,True,24,1.4086,0.06124,6205.2,6167.2,6205.2,24564.0,43.71,46.0,107.5,121.65,42.0,telemetry\bf16_ctx128.csv,telemetry\bf16_ctx128_markers.csv,2,0.02688,0.00313,4793.385,557.33449,0.02641,0.0013,0.70087,0.01332,0.67398,0.01457,46.006,0.99419,45.6655,0.86762,21.741,0.46952,21.514,0.30688,23.0565,0.74458,24.837,1.98838
bf16,512,32,1,ok,,1.6041,1527.5,6077.2,4529.5,3002.0,2944.4,3002.0,1543714304,True,26,1.5294,0.06118,6363.2,6213.2,6363.2,24564.0,47.58,57.0,130.32,136.42,44.0,telemetry\bf16_ctx512.csv,telemetry\bf16_ctx512_markers.csv,2,0.03329,0.00667,15696.4,3142.63709,0.02969,0.00245,0.73866,0.05307,0.7085,0.05055,43.866,3.12965,43.434,3.12117,22.855,1.63059,22.372,1.20067,24.9445,2.77964,27.389,5.3033
