t_rel_s,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,power_w,temperature_c,sm_clock_mhz
0.002090299998599221,16691.328125,24564.0,92.0,77.0,242.448,54.0,2685.0
0.06093489999875601,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.12208969999846886,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.18661129999964032,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.24856099999851722,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.3106138999992254,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.3714001999996981,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.43263719999958994,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.49318719999973837,16691.328125,24564.0,93.0,78.0,242.943,54.0,2685.0
0.5541678999998112,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.6175908999994135,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.6787437999992108,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.7415509999991627,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.8034092999987479,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.8654501999990316,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.9289191999996547,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
0.9908359999990353,16691.328125,24564.0,94.0,61.0,326.6,68.0,2670.0
1.051793099999486,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.1131893999991007,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.1756948999991437,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.2378029999999853,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.2990049999989424,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.3605401999993774,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.4219305999995413,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.4827986999989662,16691.328125,24564.0,91.0,76.0,333.36,55.0,2685.0
1.5435309999993478,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.605762399998639,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.6681886999995186,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.7291912999990018,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.7920722999988357,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.8541449999993347,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.9155075999988185,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
1.975635599999805,16691.328125,24564.0,92.0,77.0,251.773,55.0,2685.0
2.0368103999990126,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.097883099999308,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.1578019999997196,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.2178365999989182,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.279308899998796,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.3417131999995036,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.402777599998444,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.464177699999709,16691.328125,24564.0,91.0,77.0,241.959,55.0,2685.0
2.526591099998768,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.5875099999993836,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.6478282999996736,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.7093876999988424,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.7719951999988552,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.834158199999365,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.8956667999991623,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
2.9554147999988345,16691.328125,24564.0,92.0,78.0,241.588,55.0,2685.0
3.0155563999996957,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.0757351999982347,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.137482199999795,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.1989059999996243,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.261431299999458,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.3227095999991434,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.3828544999996666,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
3.4430942999988474,16691.328125,24564.0,92.0,76.0,242.107,55.0,2685.0
