t_rel_s,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,power_w,temperature_c,sm_clock_mhz
0.0019424999991315417,24443.328125,24564.0,100.0,17.0,92.096,44.0,2685.0
0.061102600000594975,24443.328125,24564.0,100.0,17.0,92.096,44.0,2685.0
0.12445479999951203,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.18715510000038194,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.24899809999988065,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.3108480999999301,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.3731093000005785,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.4344605000005686,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.49583179999899585,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.5560769999992772,24443.328125,24564.0,75.0,3.0,98.607,45.0,2685.0
0.6182257000000391,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
0.680863199999294,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
0.7424078000003647,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
0.8041192000000592,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
0.8670459999993909,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
0.9280686999991303,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
0.9907050000001618,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
1.052262299999711,24443.328125,24564.0,99.0,2.0,103.227,49.0,2685.0
1.115940600000613,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.177299299999504,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.2387779000000592,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.3007978000005096,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.361045899999226,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.4244008999994549,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.4862983000002714,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.548147199999221,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.6118504999994911,24443.328125,24564.0,100.0,1.0,109.985,44.0,2685.0
1.6736297999996168,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
1.7352224999995087,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
1.796863100000337,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
1.860235099999045,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
1.9244041000001744,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
1.984656399999949,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
2.0464668000004167,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
2.107271999999284,24443.328125,24564.0,100.0,1.0,110.884,44.0,2685.0
2.169211299999006,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.230942899999718,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.2918102999992698,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.353073799999038,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.416293099999166,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.4782892999992328,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.541494600000078,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.6043527999991056,24443.328125,24564.0,100.0,1.0,110.147,44.0,2685.0
2.6661752999989403,24443.328125,24564.0,100.0,2.0,109.526,44.0,2685.0
2.728112599999804,24443.328125,24564.0,100.0,2.0,109.526,44.0,2685.0
2.790742900000623,24443.328125,24564.0,100.0,2.0,109.526,44.0,2685.0
2.85356370000045,24443.328125,24564.0,100.0,2.0,109.526,44.0,2685.0
2.914735099999234,24443.328125,24564.0,100.0,2.0,109.526,44.0,2685.0
2.9765879000005953,24443.328125,24564.0,100.0,2.0,109.526,44.0,2685.0
