t_rel_s,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,power_w,temperature_c,sm_clock_mhz
0.0020435000005818438,16227.328125,24564.0,90.0,83.0,240.818,49.0,2685.0
0.06134900000142807,16227.328125,24564.0,90.0,83.0,240.818,49.0,2685.0
0.12353490000168676,16227.328125,24564.0,90.0,83.0,240.818,49.0,2685.0
0.18554089999997814,16227.328125,24564.0,90.0,83.0,240.818,49.0,2685.0
0.24890730000151962,16227.328125,24564.0,90.0,83.0,240.818,49.0,2685.0
0.312063000001217,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.37550200000077893,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.43798080000124173,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.5002665000010893,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.562030600000071,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.6244190000015806,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.6864179000003787,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.7483555000017077,16227.328125,24564.0,90.0,83.0,242.077,49.0,2685.0
0.8110026000013022,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
0.8730784000017593,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
0.9337309000002278,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
0.9943644000013592,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
1.0568625000014435,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
1.1183478000002651,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
1.1802888000001985,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
1.2418474000005517,16227.328125,24564.0,87.0,81.0,241.548,50.0,2685.0
1.3030090000011114,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.3637917000014568,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.4255682000002707,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.4874099000007845,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.5492032000001927,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.610998500000278,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.6732479000002058,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.7354861000003439,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.798038600001746,16227.328125,24564.0,90.0,83.0,239.884,50.0,2685.0
1.858914200000072,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
1.92011310000089,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
1.9818104000005405,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
2.0438983000003645,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
2.1050877000016044,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
2.166513500000292,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
2.228369400001611,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
2.289319500001511,16227.328125,24564.0,90.0,83.0,240.498,50.0,2685.0
2.350789900001473,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.4132311000012123,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.4740748000003805,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.534521700001278,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.5963552000011987,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.6583029000012175,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.7200378000015917,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.7802639000001363,16227.328125,24564.0,91.0,83.0,240.861,50.0,2685.0
2.842725300000893,16227.328125,24564.0,90.0,84.0,240.196,50.0,2685.0
2.90547190000143,16227.328125,24564.0,90.0,84.0,240.196,50.0,2685.0
2.9680892000014865,16227.328125,24564.0,90.0,84.0,240.196,50.0,2685.0
3.0289835000003222,16227.328125,24564.0,90.0,84.0,240.196,50.0,2685.0
3.0917473000008613,16227.328125,24564.0,90.0,84.0,240.196,50.0,2685.0
