layer,raw_difference_norm,train_cohens_d,train_auroc,test_cohens_d,test_auroc,test_mean_projection_harmful,test_mean_projection_harmless,test_cosine_cohens_d,test_cosine_auroc,harmful_mean_norm,harmless_mean_norm
0,0.480552,0.841297,0.732857,0.129149,0.541111,0.101087,0.037872,0.123226,0.54,10.6716,10.6469
1,0.826949,0.856011,0.751633,0.118753,0.542222,5.556208,5.45782,0.096246,0.528889,16.2066,16.1254
2,1.019066,0.816091,0.744694,0.143716,0.553333,3.206723,3.049196,0.130166,0.542222,19.39,19.2792
3,1.315713,0.866078,0.750408,0.130481,0.547778,-0.300089,-0.47095,0.126714,0.547778,19.1213,19.0923
4,2.648315,0.641385,0.711837,0.023325,0.525556,-0.963901,-1.053528,0.02305,0.526667,22.5466,22.5475
5,2.980965,0.763808,0.72102,0.055165,0.524444,-0.099807,-0.303952,0.057643,0.532222,32.1384,31.8408
6,3.359895,0.806287,0.727347,0.098175,0.54,-2.115112,-2.500639,0.089098,0.541111,33.3926,33.5017
7,3.489841,0.81472,0.733673,0.12039,0.551111,2.62089,2.136089,0.114709,0.55,34.392,34.3576
8,4.103878,1.02012,0.768163,0.236537,0.566667,-1.819503,-2.728348,0.224174,0.566667,37.9901,38.1387
9,4.696683,1.138885,0.782245,0.318172,0.593333,-2.424817,-3.658303,0.298525,0.59,46.1807,46.3638
10,4.731274,1.171957,0.790816,0.353936,0.595556,-0.303809,-1.651236,0.349039,0.594444,47.5934,47.4267
11,5.055176,1.248121,0.807347,0.427125,0.614444,-2.083992,-3.708028,0.433367,0.617778,51.2978,50.8268
12,6.279586,1.186764,0.794898,0.411155,0.612222,-3.968194,-5.934787,0.401616,0.606667,52.2035,52.4095
13,10.452566,1.81635,0.895714,1.205297,0.801111,12.974274,6.912529,1.239024,0.805556,65.6191,64.6976
14,14.372169,2.042064,0.923878,1.604136,0.877778,10.226717,0.730547,1.640104,0.876667,66.8576,65.8834
15,17.149494,2.067478,0.932653,1.778042,0.894444,17.544298,5.427526,1.836542,0.892222,69.9647,67.6345
16,18.459879,2.264035,0.940408,1.913826,0.895556,8.416029,-5.508728,1.927271,0.896667,70.7326,69.4364
17,22.005381,2.50875,0.949796,2.157953,0.921111,17.507872,0.04321,2.17803,0.921111,77.7573,74.9452
18,28.802504,3.007473,0.966939,2.998424,0.975556,15.174128,-11.375669,3.05833,0.977778,87.6636,85.5632
19,39.503891,3.122458,0.96898,3.38224,0.984444,28.312231,-10.088939,3.42858,0.983333,101.5168,97.8851
20,56.106998,3.124925,0.964694,3.585402,0.982222,40.737793,-15.873698,3.663239,0.982222,125.0167,120.5913
21,67.277863,3.084042,0.963878,3.545605,0.982222,47.731209,-20.362478,3.577683,0.982222,147.9292,143.9377
22,82.367981,3.110751,0.964082,3.54607,0.981111,57.170078,-26.537254,3.562998,0.982222,183.2708,180.4782
23,101.273422,3.071667,0.963061,3.527019,0.983333,71.998436,-32.351673,3.544879,0.983333,219.3994,219.16
24,118.017166,3.0561,0.961837,3.413316,0.978889,67.786575,-51.652164,3.425889,0.98,267.5022,272.5457
25,142.775864,3.078404,0.964082,3.452337,0.977778,85.386894,-62.067791,3.479766,0.981111,329.8511,335.7874
26,164.669281,3.118243,0.965714,3.443384,0.981111,98.391258,-69.256668,3.461933,0.982222,411.2364,418.3056
27,186.509262,3.006255,0.959796,3.409303,0.977778,178.280426,-11.096712,3.408745,0.978889,409.0626,395.124
